City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Akom,CM,4.2333,13.45,73.33,33,14,1.14,few clouds
271,Kutum,SS,8.5332,28.1004,79.56,20,41,2.89,scattered clouds
272,Guerrero Negro,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
273,Washington,US,57.0531,-135.33,37.29,93,75,4.61,mist
274,Gamba,GA,-1.5746,9.2618,78.64,84,79,4.74,light rain
275,Nehe,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
276,Kavieng,PG,-2.0226,147.2712,79.72,80,100,11.86,light rain
277,Mirnyy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
278,Rio Branco Do Sul,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
279,Collierville,US,57.0531,-135.33,37.29,93,75,4.61,mist
280,Limulunga,ZM,-13.5432,23.1047,68.16,80,100,1.7,overcast clouds
281,Naryan-Mar,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
282,Bintulu,MY,3.1667,113.0333,73.81,100,20,3.44,few clouds
283,Kralendijk,US,32.296,-81.2354,69.98,67,100,1.99,overcast clouds
284,Reconquista,AR,-51.6226,-69.2181,62.65,55,75,20.71,broken clouds
285,Brzeziny,PL,51.8002,19.7514,35.19,83,94,15.55,overcast clouds
286,Nouadhibou,MR,20.931,-17.0347,71.58,60,2,14.97,sand
287,Olafsvik,IS,63.4427,-20.2734,29.39,93,100,20.71,overcast clouds
288,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,61,0,8.01,clear sky
289,Sohbatpur,PK,28.5202,68.5434,65.26,27,0,16.51,clear sky
290,Srednekolymsk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
291,Nizhneyansk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
292,Chuy,UY,-33.6971,-53.4616,79.92,60,0,14.0,clear sky
293,Kruisfontein,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
294,De Aar,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
